,"15. In summer, I heard thunder as lightning struck in the sky. After a little time after the lightning struck first, I heard thunder. Why do lightning come first and thunder comes later? Let's explain it in detail using our knowledge of light and sound.",q15_speed difference
120,Because the light of lightning is faster than sound.,
121,Lightning is longer than my legs,
122,"Light has a tremendous sound per second, but the sound is much slower than the speed of light, so thunder is heard after lightning strikes.",
123,"This is because light is fast, so lightning occurs first, but sounds slower than light are heard later after lightning strikes.",
124,"Thunder will be heard later If there's lightning from afar, it takes time to get through",
125,I don't know,
126,The light is faster than the sound,
127,I don't know.,
128,Because light is faster than sound,
129,This is because the speed at which light travels is faster than the speed at which sound travels.,
130,The light is faster than the sound,
131,Because the speed of thunder is slower than that of lightning.,
132,It's going to be lightning,
133,Speed difference,
134,"Because light is faster than sound, lightning is light and thunder is sound.",
135,"The light is so fast that I can see it first, but the sound is late because it is late",
136,I don't know.,
137,The light is faster than the sound,
138,It is because there are dark clouds and soft clouds,
139,"The light is faster than the sound, so the light hits first and then the sound comes out",
140,I don't know.,
141,Because lightning is light?,
142,"You can see it with your eyes first, and the sound is a little slow. I can hear a lot of lightning after going around the earth.",
143,Well...,
144,"Light is faster than sound, so lightning strikes first and thunder strikes",
145,"Because the light is faster than the sound, the light comes out first and you can hear the sound",
146,It's because the sound is faster than the light,
147,No.,
148,Light is faster than sound,
149,Light is faster than lightning,
150,This is because light travels faster than sound.,
151,Because light is faster than sound.,
152,I don't know.,
153,"Because the light is faster than the sound,",
154,"Because the speed of light is faster than sound,",
155,"Light travels faster than sound, so light is seen first and sound is heard later.",
156,Lightning occurs first because lightning is faster than sound,
157,"Because light is faster than sound, lightning strikes first and sounds are heard.",
158,"Because there's a speed of sound and light, the sound is slower than light",
159,Because light is faster than sound.,
160,Thunder and air meet,
161,This is because the speed of light is faster than the speed of sound.,
162,The light is faster than the sound,
163,"The light is faster than the sound, so it shines, and after five seconds, the sound is heard.",
164,"Because light is faster than sound (light is 300,000 kilometers per second, sound is about 760 meters per second)",
165,The sound is slower than the light.,
166,The light is faster than the sound,
167,"Because our ears and eyes react late, they are originally activated together",
168,The light is faster than the sound,
169,"The speed of light is fast, but the sound is slow",
170,I don't understand.,
171,This is because light travels much faster than sound.,
172,The light is faster than the sound,
173,Because light is faster than sound,
174,The sound is slower than the light,
175,It's because the speed of light is faster than the sound,
176,I don't know.,
177,This is because the speed of light is faster than the speed of sound.,
178,Because light is faster than sound.,
179,The sound is heard late because the light is faster than the sound,
180,The light is faster than the sound,
181,Because light is faster than sound,
182,It's because light is faster than the sound,
183,The light is faster than the sound,
184,"Because the light is faster than the sound, lightning is seen first, and then thunder arrives.",
185,the principle of nature,
186,The light is faster than the sound,
187,This is because the speed of light is faster than the speed of sound.,
188,Because light is faster than sound,
189,Because the speed of light is faster,
190,The light is faster than the sound,
191,This is because sound is slower than light.,
192,"Light is faster than sound. So the light shines first, and then it makes a thud.",
193,Because light is faster than sound.,
194,Because light is faster than sound,
195,"Because the speed of light is much faster than the speed of sound movement, light is first observed by the observer.",
196,"Basically, the speed of sound is 314 m/s, and the speed of light is 7 1/2 revolutions around the earth per second, so thunder is the sound and lightning is the light. I'm the light.",
197,Light is faster than soundThis is because the speed of light is faster than that of sound.,
198,"Light is faster than the speed of sound. Therefore, lightning, which is light, occurs first, and then thunder is heard.",
199,Because light is faster than sound,
200,"The speed of light is much faster than the speed of sound, and since lightning is light, we can see it first and hear thunder behind it.",
201,Because light is faster than sound,
202,The light is faster,
203,The light is faster than the sound,
204,Everything has its own order,
205,Everything has its own order,
206,"What you hear right away is that you're close, that you can see the light, and what you hear later is that you're far away",
207,The light is faster than the sound,
208,The light is faster than the sound,
209,I don't know.,
210,Because the speed at which light travels and the speed at which sound travels are different. The light is faster.,
211,"Light travels about 300,000 kilometers per second and sound travels about 300 meters per second, so lightning first occurs and thunder is heard.",
212,The light is faster than the sound,
213,"Light is the fastest substance in the world. Sound is slower than light, so it is heard after lightning strikes",
214,"Light is faster than sound, so lightning strikes first and thunder strikes.",
215,Everything is in order.,
216,"Because light is faster than sound, light is seen first, and a slower sound is heard afterwards. Light (300,000 km) sound (340 m per second)",
217,The light is faster than the sound,
218,"""Sound speed 1700""",
219,"""Light Speed 30,000,000 Sound and Vessel Speed""",
220,The light is faster than the sound,
221,It's because the sound is slower than the light,
222,The sound is slower than the light,
223,Nothing is faster than light,
224,"""The sound will hit you later",
225,"""It's knowledge""",
226,"Although light is fast enough to go around the earth seven and a half times per second. The sound is only 340 meters per second. So lightning is seen first. Depending on how far it is, thunder can be heard together or later.",
227,Because light is faster than sound,
228,The light is faster than the sound,
229,"""Because light is faster than sound",
230,"""",
231,"The temperature of lightning that shines and shines is higher than 10,000 E degrees When the surrounding air expands rapidly, it generates small waves, vibrates the air, lightning strikes, and then thunder occurs.",
232,Light travels in an instant and sound travels late because it is slow.,
233,Because light is faster than sound.,
234,Nothing is faster than light,
235,Because light is faster than sound,
236,"""It is light that has the fastest speed on earth.",
237,"Lightning is light and thunder is sound. This is why lightning strikes and slower thunder sounds.""",
238,"""The light is about 300,000 km/s per second and the sound is about 0.87 km/s",
239,"So the speed of light is much faster than the speed of sound.""",
240,""" The speed of light is much faster than the speed of sound",
241,"The reason is that the light has no medium, so there is not much friction, so it can move quickly",
242,"Since the medium is air, it takes some time to deliver the sound",
243,Light is faster than sound.,
244,"""",
245,The light is much faster than the sound,
246,The light is faster than sound.,
247,Because the speed of light is faster than the speed of sound,
248,Because light is much faster than sound.,
249,"The speed of light is much faster than the speed of sound, so lightning strikes first and thunder is heard late.",
250,"""The speed of light and sound is different.",
251,"The light is about 300,000 km/s per second",
252,The sound is about 0.87 km/s,
253,"You can see light visually first and you can hear thunder audibly.""",
254,The time difference between lightning and thunder is that light and sound travel the same distance is different,
255,"Because the sound arrives after the lightning strikes first, thunder is heard after the lightning strikes.",
256,"Because the speed of light is faster than the speed of sound, thunder is heard after lightning strikes first.",
257,"""Because the speed of light is much faster,",
258,"The reason is that light has no medium, so there is not much friction, so it can move quickly",
259,"Sound is faster than sound because the medium is air and it takes some time to transmit sound.""",
260,"The reason is that the speed of light is much higher because there is no medium, so there is not much friction, so it can move quickly, but because the medium is air, it takes a little time to transmit it as sound, so the light is faster than sound.",
261,Because the speed of light is faster than the speed of sound,
262,"""The speed of light (light speed) is faster than the speed of sound (sound speed)",
263,Then you hear the thunder.,
264,The speed of light travels around the Earth seven and a half times per second The speed of sound travels about 350 meters per second.,
265,"Therefore, if you measure the time after lightning strikes and hear thunder, you can know how far lightning occurred.""",
266,"""The speed of light (light speed) is faster than the speed of sound (sound speed), so lightning can be seen first.",
267,And then you hear the thunder,
268,The speed of light travels around the Earth seven and a half times per second The speed of sound is about 350 meters per second,
269,"Therefore, if you measure the time after the lightning strikes and hear the thunder, you can see how far the lightning occurred",
270,"""",
271,dwdwed,
272,I don't know.,
273,Mr,
274,Unknowingness,
275,I don't understand.,
276,I don't know,
277,Lightning is faster than thunder,
278,I don't know.,
279,I don't understand.,
280,Unknowingness,
281,The sound is slower than the light,
282,I don't understand.,
283,I don't know,
284,Mall,
285,"Lightning comes down when it shines, and the sound comes the sound",
286,Light is faster than sound,
287,Because light is faster than sound,
288,I don't know,
289,It sounds slower because the speed of light is slower than the sound.,
290,Unknowingness,
291,I don't understand.,
292,Lightning is heard later because it is much faster than a Mach.,
293,I don't understand.,
294,The sound is so fast,
295,Unknowingness,
296,"It is related to the speed of sound. The farther the distance, the slower the sound is heard.I don't know.",
297,Light is faster,
298,"Light is faster than sound, so lightning strikes first and sounds are heard",
299,Lightning is because light travels faster than sound,
300,?,
301,The light is faster than the sound,
302,"Well, I was curious, but I don't know",
303,It's because it makes sounds and creates light,
304,"Because light is faster than sound, lightning and thunder are originally struck together, but because light is faster than sound, lightning and thunder seem to be striking.",
305,yes,
306,This is because thunder strikes later than lightning.,
307,mmk,
308,It's because light is faster than the sound,
309,The light is faster,
310,Because light is faster than sound,
311,There's a time when lightning makes sounds,
312,There was a thunderstorm because of the lightning,
313,The light is faster than the sound,
314,I can't hear anything,
315,The light is faster,
316,Because the light is the fastest,
317,"Lightning signals the startWell, it's like lightning",
318,Unknowingness,
319,"Originally, light comes out first and sound comes out later.",
320,Because light is faster than sound,
321,The sound starts from the silence,
322,Because light is faster than sound,
323,Because the light is faster,
324,Because lightning is faster than sound,
325,Thunder is lightning.,
326,Because the sound is faster than debt.,
327,"Light is faster than sound, so thunder is much faster than light, and thunder is slower than light, so thunder hits first, and sound is heard later",
328,"Because light is 310,000 kilometers per second and sound is 340 meters per second, light is bound to be faster than sound, and it cannot catch up with the speed of light",
329,The light is faster than lightning,
330,I don't know,
331,I didn't understand,
332,This is because the speed of sound is slower than that of light.,
333,Light is faster than sound,
334,"""The light is faster than the sound, so that the lightning can be seen first and then the thunder can be heard",
335,"That's how it works""",
336,"It occurs at the same time, but the sound is slower than light, so lightning is seen first and thunder is heard later.",
337,This is because light is faster because lightning is transmitted to me at the speed of light and thunder is transmitted at the speed of sound.,
338,The light is faster,
339,"Light is much faster than sound. Light is 3000000 m/s regardless of the medium, and sound is 333 + 0.6 tons, which varies in speed with temperature. In summer, no matter how high the room temperature is, even if it is assumed to be 50 degrees Celsius, the sound is 361m/s, so lightning, which is light, appears first and thunder is heard a few seconds later. If we find this time difference, we can see the origin (the point at which it occurred) of lightning.",
340,Because the speed of light is faster than that of sound waves,
341,"The speed of light is greater than the speed of sound, so light reaches first",
342,The speed of light is greater than the speed of sound,
343,Because the light is faster.,
344,Speed of light > Sound wave speed,
345,Lightning is faster than the sound,
346,Because light is faster than sound,
347,"Lightning is the speed of light, while sound is 343 m/s. Due to this difference in speed, a time interval occurs when the same distance is changed.",
348,This is because the speed of light is faster than sound.,
349,"Because the speed of light is faster,",
350,Because light is faster than sound,
351,"Because the speed of light is faster than the speed of sound, lightning strikes first, followed by thunder.",
352,"Because the light is faster, there's a difference in speed",
353,"Because light is faster than sound, light is seen first and sound is heard",
354,Because the bright sound is so fast that it can be heard late,
355,The speed of light and sound are different,
356,"The speed of light and sound is different, so lightning is seen first because the speed of lightning is faster than the sound of lightning.",
357,"Light and sound are faster than sound, so lightning occurs first and then thunder occurs.",
358,The sound is slow,
359,"Because the speed of light is faster than the speed of sound, lightning strikes first, followed by thunder.",
360,This is because light is faster than sound.,
361,Because light is faster than sound,
362,Lightning makes a sound before thunder comes and tells you that thunder is coming,
363,Light is faster than sound,
364,Lightning is light and thunder is sound because light is faster than sound.,
365,The light is faster than the sound,
366,"Because light is faster than sound, light is seen first and thunder is heard.",
367,The light is faster than the sound,
368,Because light is faster than sound.,
369,I don't know.,
370,The light is faster than the sound,
371,Because light is faster than sound.,
372,Lightning is faster than the sound,
373,Unknowingness,
374,This is because the speed of light is faster than the speed of sound.,
375,Light is faster than sound and is a gate.,
376,Light is faster than sound,
377,The light is faster than sound. a scientifically proven fact,
378,Because the sound is faster than the light,
379,"The light is faster, so I can see the light and I can hear the next sound",
380,Because light is faster than sound,
381,"Light is faster than sound, so lightning strikes first and then sound is heard.",
382,The light is faster than the sound,
383,"Light is faster than sound, so light is seen first and sound is transmitted late.",
384,Because the speed of light is faster than the speed of sound,
385,"Because the speed of light is faster than the speed of sound, the sound is heard after the light of lightning is seen.",
386,"Lightning is the speed of light and sound is the speed of sound and is slower than the speed of light, so it is heard a little after it is seen.",
387,Because light is much faster than sound.,
388,It's like pooing It's farting and buying poo,
389,The speed of light is faster than the speed of sound,
390,This is because the speed of sound is faster than the speed of light.,
391,Because the time the sound is transmitted is different from the time the light is transmitted,
392,Because light is faster than sound,
393,This is because light is faster than the speed of sound.,
394,It's because light is faster than the sound,
395,Because the speed of light is faster than the speed of soundThe light is faster than the sound,
396,The sound can't keep up with the speed of light,
397,Because light is faster than sound.,
398,Because light is faster than sound.,
399,"Because the sound is about 340m/s and the light is about 3000000m/s, light arrives at us and thunder is heard.",
400,Lightning is in the form of light and thunder is sound because light is faster than sound.,
401,"The speed of light is faster than sound. Therefore, light is visible first to our eyes, and thunder at a lower speed is heard later.",
402,Because light is faster than sound,
403,This is because the speed of light is faster than the speed of sound,
404,Unknowingness,
405,Because the speed of light is faster than the speed of sound,
406,Light is better than soundI'm fast. So I'll blink first and then I'll clap,
407,I don't know ^^,
408,ã± and ã,
409,Because the sound is faster than light,
410,This is because the speed of light is faster than that of sound.,
411,I don't know.,
412,"The speed of light is different from the speed of sound, so when lightning strikes from a distance, light reaches me first, and then the sound reaches me, so lightning occurs first and thunder is heard later.",
413,"Thunder and lightning are caused by friction as dust rises into the sky due to the rise in low pressure, and the reason why thunder and lightning strike first is that the speed of light is faster than the speed of sound. In other words, lightning, which is the light, hits first, and then thunder is heard.",
414,"Because light is faster than sound, light flashes and thunder rings first.",
415,Lightning is light and thunder is sound because the speed of light is much faster than that of sound.,
416,Because the sound is faster than the light,
417,"This is because the speed of light is 300,000 km/h and the speed of sound is 340 m/s, and light is faster than sound.",
418,"Because the speed of light is faster than the speed of sound, thunder is heard after lightning strikes first.",
419,"Because light is much faster than sound. Light is about 300,000 kilometers per second, while sound is about 340m/s per second, so lightning strikes first and thunder is heard later. If you check how many seconds after the lightning struck, you can infer the place where the lightning struck.",
420,"Because the speed of light is faster than the speed of sound, the sound is heard after lightning strikes.",
421,"Light travels faster than sound, so lightning occurs first and thunder is heard later.",
422,The light is faster than the sound,
423,"Because the speed of light is faster than the speed of sound, light is seen first before sound is made, followed by sound.",
424,"Because the speed of light is faster than the speed of sound, it takes less time to get to us from one point. Therefore, the light reaches our eyes first, and then the sound reaches our ears and is heard later.",
425,This is because the speed of light is faster than that of sound.,
426,"The speed of light is extremely fast at c, but the speed of sound is relatively slow at 350 per second. In other words, when lightning, the light, strikes, the speed of light is very fast and can be seen directly to our eyes. However, sound is relatively slow and reaches a person's ear later.",
427,"Light travels at 300000 km/s per second, while sound travels at 340 m/s, so light is faster than sound, so it reaches us first. This is because light does not require a medium for movement, but sound travels through a medium called air.",
428,"This is because the speed of light and sound is different. Light travels at 300,000 kilometers per second, while sound travels at several thousand kilometers per second. Because of this speed difference, lightning, which is light, occurs first, and thunder, which is sound, is heard later. Of course, if the distance is close, this phenomenon will not be felt, but this phenomenon is felt at a distance to the extent that the difference in movement speed between light and sound is significant.",
429,"Lightning and thunder occur simultaneously, but lightning is light, and thunder is sound. At this time, light is faster than sound, so lightning occurs first and thunder sounds seem to be heard later.",
430,The light is faster than the sound,
431,"In vacuum, the speed of light is 299792 458 m/s, and the speed of sound in air is 340 m/s based on 100 000 Pa. This shows that light is actually much faster than sound. Therefore, when lightning strikes, light first reaches our eyes, and lightning is supplemented, and later, the sound reaches the ear and hears the sound later.",
432,"This is because the speed of light is much faster than the speed of sound. Therefore, the sound is heard later.",
433,"The light is about 300,000 km/h, and the sound is about 340 m/s, so this difference is caused by the difference in speed between light and sound.",
434,Our ears are deteriorating,
435,Ankimchi. (Ankimchi in Korean),
436,This is because the speed of sound is slower than the speed of light,
437,This is because the speed of light is faster than the speed of sound.,
438,Because light is faster than sound.,
439,Because light is faster than sound,
440,Because light is faster than sound,
441,This is because the speed of light is faster than the speed of sound.,
442,Because light is faster than sound,
443,Because the light is faster than the sound,
444,The light is faster than the sound,
445,Because the light is faster than the sound,
446,The light is faster than the sound.,
447,The speed of sound is slower than the speed of light,
448,"Light is so fast that you can see it first, and the sound is slower than light, so you can hear it after lightning strikes",
449,Because the speed of light is faster than the speed of sound,
450,"Light is faster than sound, so lightning is light and thunder is sound, so lightning occurs first and thunder is heard later",
451,"Lightning strikes first, then thunder later depending on the distance",
452,"The reason why we can see lightning is because the light from lightning is reflected in our eyes. What is reflected in our eyes is transmitted to us at the speed of light, but thunder is transmitted to us at the speed of sound, which is the speed of sound, which is much slower than the speed of light, so we can see the electric field first and hear the thunder later.",
453,Because the speed of light and sound are different,
454,Because the sound is slower than light,
455,"Because lightning is light and thunder is sound, the speed of sound is not faster than light",
456,The light passes and the sound at 340 meters per second follows,
457,It's probably because the light is faster than the speed of sound,
458,The sound is heard later because the light is faster,
459,Because light is faster than sound.,
460,It's because light is faster than the sound,
461,"Light is faster than sound, but light comes out first because lightning is light and heaven is sound.",
462,The speed of light is faster than that of sound.,
463,"Light is faster than sound, so there is lightning and thunder.",
464,The size is different,
465,"The sound is faster than light, but lightning is light and thunder is sound",
466,Because light is faster than sound,
467,Because light is faster than sound.,
468,Because light is faster than sound,
469,The sound is slower,
470,The light is faster than the sound,
471,Because light is faster than sound.,
472,"Because the speed of light is faster than the speed of sound,",
473,The light is faster.,
474,Because sound is slower than light,
475,Light is much faster than sound,
476,Light is faster than sound,
477,Because light is faster than sound.,
478,"Light travels straight and very fast. Gááµri is fast, but slower than light.",
479,The light is faster than the sound,
480,Why? I'm curious,
481,It's because the light is faster.,
482,The light is faster than the sound,
483,"Because the speed of light is faster than that of sound waves, light is seen first and thunder is heard later.",
484,the speed difference between light and sound,
485,Light is faster than sound,
486,This is because the speed of light is much faster than the speed of sound.,
487,It's far away,
488,Because light is faster than sound.,
489,This is because the speed of light is faster than the speed of sound.,
490,Because the speed of light is faster,
491,Light is much faster than sound.,
492,This is because the speed of light is faster than the propagation speed of sound.,
493,This is because light is extremely fast and sound moves at 340 meters per second.,
494,The light is faster than the soundI'm faster than anyone else. I'm a traveler on the beat,
495,"Lightning is composed of light particles, and thunder is sound waves. Lightning occurs first and thunder is heard later because the speed at which light particles travel is faster than the speed at which sound spreads.",
496,"Lightning has a speed close to the speed of light. The sound is 340m/s, so lightning is much faster.",
497,"Lightning is the flow of electrons, and the velocity of electrons is almost close to light. Thunder is also the sound. Sound travels at room temperature, 340 meters per second in the atmosphere, but light travels at 300,000 kilometers per second. Because the light is faster, light, lightning that is close to its speed, reaches the surface first, and as it generates light in ionized air, we see this light, and then it happens as sound reaches us.",
498,I don't understand.,
499,"HUENINGKAI, what do you mean?",
500,"I learned it, but I forgot...",
501,Unknowingness,
502,-H6ã·D55565,
503,"Lightning is light and thunder is sound, so light travels 300,000 kilometers per second, but sound travels 340 meters per second, so lightning strikes first and thunder is heard late",
504,Sound is fast and we hear it with our ears. Light is seen with our eyes,
505,The light is faster than the sound,
506,It's slower than thunder,
507,The light is so fast,
508,What do you mean?,
509,Because light is faster than sound.,
510,The light is faster than the sound,
511,The sound is slower than the light and arrives later.,
512,"Because light is faster than sound, light flashes first and sounds after a few seconds.",
513,be quick of light,
514,This is because light is seen first and sound is heard.,
515,"(Singing ""Banging sound",
516,I don't know why lightning strikes and thunder is heard.,
517,"Lightning: I'll go out first! Thunder: Yeah, I'll be out in a minute ^^",
518,This is because light is faster than sound.,
519,Lightning strikes faster. It's the light,
520,I don't know,
521,Because the light is faster,
522,This is because the speed of sound is slower than the speed of light.,
523,I don't know. I don't know.,
524,Too fast to shine,
525,The light is faster than the sound,
526,The speed of sound is slower than the speed of light,
527,The speed of sound is slower than the speed of light,
528,The light is faster than the sound,
529,.,
530,"Because light is faster than sound, lightning, which is light, strikes first, and thunder, which is sound, is heard later.",
531,Because light is faster than sound.,
532,Don't know,
533,Light travels around the earth seven and a half times a second as I know it.,
534,"Because the light is faster than the sound, the light arrives first and you can hear the sound",
535,"Lightning meets without sound, and thunder shines with sound",
536,The speed at which light can travel seven times around the earth in one second is áá¡. So the sound is much faster than the light.,
537,It's hard,
538,Thunder is heard later because light is slower than sound.,
539,I don't know...,
540,Unknowingness,
541,"Both light and sound are known to be very fast, but as evidenced by the thunder after lightning strikes first, light is faster, so even if light and sound depart together, light arrives first. Next is the sound. So I think the sound is a little slower because the light is faster.",
542,Don't know,
543,The sound is slower than the light,
544,?,
545,I want to play it later,
546,the tardiness of thunder,
547,I don't know.,
548,"Thunder falls and the sound follows the thunder, and there will be a distance, so the sound will be heard depending on the distance",
549,Because the light is faster than the sound,
550,"The light is faster, so the sound comes out slower",
551,Lightning strikes first because it is as fast as a jet stream,
552,Unknowingness,
553,The light is faster than the sound with a large strainer. Light travels fast enough to take 8 minutes and 24 seconds from the sun to Earth.,
554,The sound is slower than the light.,
555,I don't know.,
556,Don't know,
557,This is because light is much faster than sound.,
558,"The speed of thunder is so fast that when our eyes recognize it, lightning has already hit and the speed of our ears is heard up to five seconds after our eyes recognize it, so the sound is slow because our ears cannot recognize it when lightning is the fastest",
559,I don't know.,
560,"Light travels at a tremendous speed because the sound is slower than that, so the sound comes later",
561,Because light is faster than sound because it is over 100 meters per second,
562,"Light is faster than sound, so light comes first, followed by sound.",
563,I don't know.,
564,I don't know,
565,"Sound is not faster than light, so it comes out seconds after lightning strikes.",
566,"When a sound is about to be made, the light is bright, so it is seen first and the sound comes next.",
567,"We started at the same timeEven so, because light is faster than sound, we can see lightning first and hear thunder.",
568,The speed of light is faster,
569,I don't know,
570,"The light is 300000km per second and the sound is 343m per second, so the speed difference is large. Therefore, when thunder strikes, light information enters our sensory organs much faster, so we recognize it quickly.",
571,It is a phenomenon that occurs because light is faster than sound.,
572,"Lightning occurs first because the speed of light is faster. The speed of light is faster than the speed of sound, so lightning occurs first and thunder is heard later.",
573,(Um-Bba~~Um-Bba~)~~~~),
